pr_number,pr_title,bug_description,severity,caught,evidence,confidence
8087,"Async import of the appStore packages","Consider adding try-catch around the await to handle import failures gracefully",Low,NO,"",0.0
8087,"Async import of the appStore packages","The code uses forEach with async callbacks, which causes asynchronous operations (e.g., calendar/vid",Critical,YES,"Array.forEach does not await the return value of its callback. These async callbacks return promises that nobody awaits.",0.99
10600,"feat: 2fa backup codes","The exported function TwoFactor handles backup codes and is in BackupCode.tsx. Inconsistent naming.",Low,YES,"BackupCode.tsx exports as TwoFactor — line 7. The file is BackupCode.tsx but the component function is named TwoFactor. ",0.97
10600,"feat: 2fa backup codes","Error message mentions 'backup code login' but this is a disable endpoint, not login",Low,NO,"",0.0
10600,"feat: 2fa backup codes","Backup code validation is case-sensitive due to the use of indexOf(). This causes validation to fail",Medium,NO,"",0.0
10600,"feat: 2fa backup codes","Because backupCodes are decrypted and mutated in memory before being written back, two concurrent lo",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Potential null reference if mainHostDestinationCalendar is undefined if evt.destinationCalendar is n",High,YES,"If `destinationCalendar` is `null` or empty array, `mainHostDestinationCalendar` is `undefined`, and accessing `.integra",0.99
10967,"fix: handle collective multiple host on destinationCalendar","The optional chaining on mainHostDestinationCalendar?.integration is redundant since you already che",Low,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic error: when externalCalendarId is provided, you're searching for a calendar where externalId =",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic inversion in organization creation: The slug property is now conditionally set when IS_TEAM_BI",Medium,YES,"These are **not semantically equivalent**. The original spreads `slug` when billing is **disabled**. The replacement spr",0.9
10967,"fix: handle collective multiple host on destinationCalendar","The Calendar interface now requires createEvent(event, credentialId), but some implementations (e.g.",Low,YES,"`createEvent` signature change breaks the interface contract inconsistently — `packages/types/Calendar.d.ts` now require",0.97
