pr_number,pr_title,bug_description,severity,caught,evidence,confidence
8087,"Async import of the appStore packages","Consider adding try-catch around the await to handle import failures gracefully",Low,NO,"",0.0
8087,"Async import of the appStore packages","The code uses forEach with async callbacks, which causes asynchronous operations (e.g., calendar/vid",Critical,YES,"`.forEach()` does not await async callbacks. It fires them all, returns `undefined`, and moves on. This means: 1. The su",0.99
10600,"feat: 2fa backup codes","The exported function TwoFactor handles backup codes and is in BackupCode.tsx. Inconsistent naming.",Low,YES,"`BackupCode` component named like a data model, exported as default but function is named `TwoFactor`... The file is `Ba",0.95
10600,"feat: 2fa backup codes","Error message mentions 'backup code login' but this is a disable endpoint, not login",Low,NO,"",0.0
10600,"feat: 2fa backup codes","Backup code validation is case-sensitive due to the use of indexOf(). This causes validation to fail",Medium,NO,"",0.0
10600,"feat: 2fa backup codes","Because backupCodes are decrypted and mutated in memory before being written back, two concurrent lo",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Potential null reference if mainHostDestinationCalendar is undefined if evt.destinationCalendar is n",High,YES,"If `destinationCalendar` is an empty array `[]`, destructuring yields `undefined`, and then you access `.integration` on",0.97
10967,"fix: handle collective multiple host on destinationCalendar","The optional chaining on mainHostDestinationCalendar?.integration is redundant since you already che",Low,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic error: when externalCalendarId is provided, you're searching for a calendar where externalId =",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic inversion in organization creation: The slug property is now conditionally set when IS_TEAM_BI",Medium,YES,"This *inverts the logic*. Before: slug was set when billing was **disabled**. After: slug is set when billing is **enabl",0.95
10967,"fix: handle collective multiple host on destinationCalendar","The Calendar interface now requires createEvent(event, credentialId), but some implementations (e.g.",Low,YES,"Calendar.d.ts now requires credentialId as a mandatory parameter... But LarkCalendarService.createEvent and Office365Cal",0.97
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","In getBaseConditions(), the else if (filterConditions) and final else branches are unreachable. This",Low,YES,"authConditions is always truthy — it returns Prisma.Sql, never null. getAuthorizationConditions() returns NOTHING_CONDIT",0.99
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","Fetching userIdsFromOrg only when teamsFromOrg.length > 0 can exclude org-level members for orgs wit",Medium,NO,"",0.0
7232,"Comprehensive workflow reminder management for booking lifecycle events","Asynchronous functions deleteScheduledEmailReminder and deleteScheduledSMSReminder are called withou",Medium,YES,"Fire-and-forget async calls in `.forEach()` — These are async functions doing DB writes and external API calls. The retu",0.97
7232,"Comprehensive workflow reminder management for booking lifecycle events","When immediateDelete is true, the deleteScheduledEmailReminder function cancels the SendGrid email b",High,YES,"when `immediateDelete` is `true`, it cancels via SendGrid then `return`s. The `WorkflowReminder` row is never deleted or",0.97
8330,"Advanced date override handling and timezone compatibility improvements","Incorrect end time calculation using slotStartTime instead of slotEndTime",Medium,YES,"Both `start` and `end` are computed from `slotStartTime`. The `end` should almost certainly use `slotEndTime`. This mean",0.99
8330,"Advanced date override handling and timezone compatibility improvements","Using === for dayjs object comparison will always return false as it compares object references, not",Medium,YES,"This will **never** be true. `===` compares object references, not values. Two different Dayjs instances will never be r",0.99
11059,"OAuth credential sync and app integration enhancements","The parseRefreshTokenResponse function incorrectly sets refresh_token to the hardcoded string 'refre",High,YES,"If there's no refresh token, it injects the literal string ""refresh_token"" as the token value. This is a magic placehold",0.98
11059,"OAuth credential sync and app integration enhancements","Invalid Zod schema syntax. Computed property keys like [z.string().toString()] are not valid in Zod ",High,YES,"`z.string().toString()` evaluates to `""ZodString""` — a literal string key. This schema defines a property literally name",0.97
11059,"OAuth credential sync and app integration enhancements","parseRefreshTokenResponse returns a Zod safeParse result ({ success, data, error }), not the credent",High,NO,"",0.0
